,id,creation_time,timestamp,packet_type,psn,module,component,parameter
25,1115825884,2021-08-20 10:38:09,2021-08-20 10:37:36,3,124,30,1,3
26,1115825850,2021-08-20 10:38:08,2021-08-20 10:37:36,3,123,17,4,5
27,1113957619,2021-08-19 19:38:29,2021-08-19 19:37:57,3,95,30,1,3
28,1113957569,2021-08-19 19:38:28,2021-08-19 19:37:57,3,94,30,1,3
29,1113957485,2021-08-19 19:38:25,2021-08-19 19:37:03,3,92,30,1,3
30,1113957438,2021-08-19 19:38:24,2021-08-19 19:37:03,3,91,30,1,3
31,1113951487,2021-08-19 19:36:15,2021-08-19 19:35:42,3,87,30,1,3
32,1113951440,2021-08-19 19:36:14,2021-08-19 19:35:42,3,86,17,4,5
33,1113484189,2021-08-19 16:53:55,2021-08-19 16:53:17,3,78,30,1,3
34,1113484029,2021-08-19 16:53:52,2021-08-19 16:52:47,3,76,30,1,3
35,1113477836,2021-08-19 16:51:57,2021-08-19 16:51:20,3,72,30,1,3
36,1112688648,2021-08-19 12:14:09,2021-08-19 12:13:42,3,54,30,1,3
37,1112688563,2021-08-19 12:14:08,2021-08-19 12:13:42,3,53,30,1,3
38,1112685167,2021-08-19 12:12:51,2021-08-19 12:12:12,3,49,30,1,3
39,1112685130,2021-08-19 12:12:50,2021-08-19 12:12:12,3,48,17,4,5
40,1112653886,2021-08-19 12:00:19,2021-08-19 12:00:01,3,40,30,1,3
41,1112653833,2021-08-19 12:00:18,2021-08-19 12:00:01,3,39,30,1,3
42,1112651067,2021-08-19 11:59:10,2021-08-19 11:55:30,3,35,30,1,3
43,1112606515,2021-08-19 11:41:21,2021-08-19 11:40:47,3,18,30,1,3
44,1112606484,2021-08-19 11:41:20,2021-08-19 11:40:47,3,17,30,1,3
45,1112603276,2021-08-19 11:39:59,2021-08-19 11:39:51,3,14,30,1,3
46,1112603248,2021-08-19 11:39:57,2021-08-19 11:39:51,3,13,17,4,5
47,1112513979,2021-08-19 11:01:01,2021-08-19 11:00:31,3,41,27,2,2
48,1112513938,2021-08-19 11:01:00,2021-08-19 11:00:31,3,40,28,2,2
49,1112513853,2021-08-19 11:00:58,2021-08-19 10:59:47,3,38,28,2,2
50,1112513722,2021-08-19 11:00:54,2021-08-19 10:58:06,3,36,28,2,2
51,1112513660,2021-08-19 11:00:53,2021-08-19 10:58:06,3,35,28,2,2
52,1112506365,2021-08-19 10:57:31,2021-08-19 10:57:18,3,29,28,2,2
53,1112506305,2021-08-19 10:57:29,2021-08-19 10:57:18,3,28,28,2,2
54,1112506264,2021-08-19 10:57:28,2021-08-19 10:57:18,3,26,30,1,3
55,1112506173,2021-08-19 10:57:26,2021-08-19 10:56:28,3,24,30,1,3
56,1112506111,2021-08-19 10:57:24,2021-08-19 10:56:28,3,23,28,2,2
57,1112506034,2021-08-19 10:57:23,2021-08-19 10:56:28,3,22,27,2,2
58,1112503022,2021-08-19 10:56:07,2021-08-19 10:55:44,3,19,27,2,2
59,1112502963,2021-08-19 10:56:06,2021-08-19 10:55:44,3,18,17,2,2
60,1112502877,2021-08-19 10:56:04,2021-08-19 10:55:44,3,17,30,1,3
61,1112502820,2021-08-19 10:56:03,2021-08-19 10:55:44,3,16,17,4,5
62,1112502744,2021-08-19 10:56:00,2021-08-19 10:55:07,3,13,17,2,2
63,1112502695,2021-08-19 10:55:59,2021-08-19 10:55:07,3,12,28,2,2
64,1112502640,2021-08-19 10:55:57,2021-08-19 10:55:07,3,11,27,2,2
65,1112502583,2021-08-19 10:55:56,2021-08-19 10:55:07,3,10,17,2,2
66,1112444898,2021-08-19 10:29:37,2021-08-19 10:29:01,3,186,30,1,3
67,1112444831,2021-08-19 10:29:35,2021-08-19 10:29:01,3,185,30,1,3
68,1112442150,2021-08-19 10:28:13,2021-08-19 10:27:33,3,181,30,1,3
69,1112442059,2021-08-19 10:28:11,2021-08-19 10:27:33,3,180,17,4,5
70,1112094561,2021-08-19 07:28:50,2021-08-19 07:28:14,3,164,30,1,3
71,1112094519,2021-08-19 07:28:48,2021-08-19 07:28:14,3,163,30,1,3
72,1112091974,2021-08-19 07:27:26,2021-08-19 07:23:44,3,159,30,1,3
73,1110815719,2021-08-18 21:07:12,2021-08-18 21:06:38,3,104,30,1,3
74,1110815597,2021-08-18 21:07:09,2021-08-18 21:06:07,3,102,30,1,3
75,1110815429,2021-08-18 21:07:05,2021-08-18 21:05:33,3,128,30,1,3
76,1110815337,2021-08-18 21:07:03,2021-08-18 21:04:55,3,126,30,1,3
77,1110815242,2021-08-18 21:07:01,2021-08-18 21:04:15,3,124,30,1,3
78,1110815166,2021-08-18 21:06:59,2021-08-18 21:03:42,3,122,30,1,3
79,1110815081,2021-08-18 21:06:57,2021-08-18 21:03:02,3,120,30,1,3
80,1110814997,2021-08-18 21:06:55,2021-08-18 21:02:27,3,118,30,1,3
81,1110814898,2021-08-18 21:06:53,2021-08-18 21:01:46,3,116,30,1,3
82,1110814807,2021-08-18 21:06:51,2021-08-18 21:01:09,3,114,30,1,3
83,1110814706,2021-08-18 21:06:48,2021-08-18 21:00:29,3,112,30,1,3
84,1110814600,2021-08-18 21:06:46,2021-08-18 20:59:50,3,110,30,1,3
85,1110814480,2021-08-18 21:06:44,2021-08-18 20:58:39,3,108,30,1,3
86,1110814416,2021-08-18 21:06:43,2021-08-18 20:58:39,3,107,30,1,3
87,1110790171,2021-08-18 20:57:50,2021-08-18 20:57:11,3,75,30,1,3
88,1110790122,2021-08-18 20:57:49,2021-08-18 20:57:11,3,74,17,4,5
89,1110728479,2021-08-18 20:34:17,2021-08-18 20:33:54,3,56,30,1,3
90,1110728299,2021-08-18 20:34:13,2021-08-18 20:23:54,3,54,30,1,3
91,1110728135,2021-08-18 20:34:09,2021-08-18 20:22:50,3,52,30,1,3
92,1110695887,2021-08-18 20:22:01,2021-08-18 20:21:19,3,48,30,1,3
93,1110695816,2021-08-18 20:21:59,2021-08-18 20:21:19,3,47,17,4,5
94,1110668968,2021-08-18 20:12:06,2021-08-18 20:11:24,3,34,30,1,3
95,1110668682,2021-08-18 20:12:00,2021-08-18 20:10:24,3,30,28,2,2
96,1110668627,2021-08-18 20:11:59,2021-08-18 20:10:24,3,29,30,1,3
97,1110661700,2021-08-18 20:09:28,2021-08-18 20:09:23,3,26,28,2,2
98,1110661650,2021-08-18 20:09:26,2021-08-18 20:09:23,3,25,27,2,2
99,1110661090,2021-08-18 20:09:14,2021-08-18 20:08:45,3,23,27,2,2
100,1110661007,2021-08-18 20:09:12,2021-08-18 20:08:45,3,22,17,2,2
101,1110660952,2021-08-18 20:09:11,2021-08-18 20:08:45,3,21,30,1,3
102,1110660881,2021-08-18 20:09:10,2021-08-18 20:08:45,3,20,17,4,5
103,1110660772,2021-08-18 20:09:08,2021-08-18 20:08:10,3,15,17,2,2
104,1110660695,2021-08-18 20:09:06,2021-08-18 20:08:10,3,14,28,2,2
105,1110660639,2021-08-18 20:09:05,2021-08-18 20:08:10,3,13,27,2,2
106,1110660575,2021-08-18 20:09:04,2021-08-18 20:08:10,3,12,17,2,2
107,1110625082,2021-08-18 19:56:11,2021-08-18 19:55:12,3,97,17,2,2
108,1110624928,2021-08-18 19:56:07,2021-08-18 19:54:27,3,95,17,2,2
109,1110624861,2021-08-18 19:56:06,2021-08-18 19:54:27,3,94,28,2,2
110,1110620344,2021-08-18 19:54:33,2021-08-18 19:54:27,3,92,17,2,2
111,1110620281,2021-08-18 19:54:32,2021-08-18 19:54:27,3,91,28,2,2
112,1110620195,2021-08-18 19:54:30,2021-08-18 19:54:27,3,90,28,2,2
113,1110615586,2021-08-18 19:52:51,2021-08-18 19:52:28,3,83,30,1,3
114,1110615326,2021-08-18 19:52:46,2021-08-18 19:42:24,3,79,17,2,2
115,1110615270,2021-08-18 19:52:45,2021-08-18 19:42:24,3,78,30,1,3
116,1110615134,2021-08-18 19:52:43,2021-08-18 19:41:54,3,76,17,2,2
117,1110615072,2021-08-18 19:52:42,2021-08-18 19:41:54,3,75,17,2,2
118,1110614978,2021-08-18 19:52:40,2021-08-18 19:41:54,3,74,30,1,3
119,1110614851,2021-08-18 19:52:38,2021-08-18 19:41:11,3,72,17,2,2
120,1110614801,2021-08-18 19:52:37,2021-08-18 19:41:11,3,71,30,1,3
121,1110614753,2021-08-18 19:52:35,2021-08-18 19:41:11,3,70,17,4,5
122,1110581133,2021-08-18 19:40:54,2021-08-18 19:40:25,3,67,17,2,2
123,1110581026,2021-08-18 19:40:52,2021-08-18 19:40:25,3,66,28,2,2
124,1110580940,2021-08-18 19:40:50,2021-08-18 19:40:25,3,65,30,1,3
125,1110580801,2021-08-18 19:40:48,2021-08-18 19:40:25,3,64,17,4,5
126,1110580068,2021-08-18 19:40:34,2021-08-18 19:40:25,3,63,17,2,2
127,1110579998,2021-08-18 19:40:32,2021-08-18 19:40:25,3,62,28,2,2
128,1110579920,2021-08-18 19:40:30,2021-08-18 19:40:25,3,61,28,2,2
129,1110499587,2021-08-18 19:11:59,2021-08-18 19:10:19,3,50,17,2,2
130,1110495209,2021-08-18 19:10:24,2021-08-18 19:10:19,3,48,17,2,2
131,1110495135,2021-08-18 19:10:23,2021-08-18 19:10:19,3,47,17,2,2
132,1110472780,2021-08-18 19:02:45,2021-08-18 19:02:22,3,33,30,1,3
133,1110472412,2021-08-18 19:02:38,2021-08-18 18:52:22,3,29,28,2,2
134,1110472346,2021-08-18 19:02:37,2021-08-18 18:52:22,3,28,30,1,3
135,1110472149,2021-08-18 19:02:33,2021-08-18 18:51:27,3,26,30,1,3
136,1110472078,2021-08-18 19:02:31,2021-08-18 18:51:27,3,25,28,2,2
137,1110472036,2021-08-18 19:02:30,2021-08-18 18:51:27,3,24,27,2,2
138,1110438323,2021-08-18 18:50:56,2021-08-18 18:50:37,3,21,27,2,2
139,1110438266,2021-08-18 18:50:55,2021-08-18 18:50:37,3,20,17,2,2
140,1110438202,2021-08-18 18:50:54,2021-08-18 18:50:37,3,19,30,1,3
141,1110438147,2021-08-18 18:50:53,2021-08-18 18:50:37,3,18,17,4,5
142,1110437991,2021-08-18 18:50:49,2021-08-18 18:50:01,3,15,17,2,2
143,1110437941,2021-08-18 18:50:48,2021-08-18 18:50:01,3,14,28,2,2
144,1110437906,2021-08-18 18:50:47,2021-08-18 18:50:01,3,13,27,2,2
145,1110437870,2021-08-18 18:50:46,2021-08-18 18:50:01,3,12,17,2,2
146,1110427075,2021-08-18 18:47:09,2021-08-18 18:46:45,3,67,28,2,2
147,1110426424,2021-08-18 18:46:55,2021-08-18 18:46:45,3,65,28,2,2
148,1110426373,2021-08-18 18:46:54,2021-08-18 18:46:45,3,64,28,2,2
149,1110426257,2021-08-18 18:46:51,2021-08-18 18:45:13,3,62,28,2,2
150,1110421453,2021-08-18 18:45:17,2021-08-18 18:45:13,3,60,28,2,2
151,1110421407,2021-08-18 18:45:16,2021-08-18 18:45:13,3,59,28,2,2
152,1110327631,2021-08-18 18:12:30,2021-08-18 18:09:18,3,44,28,2,2
153,1110318968,2021-08-18 18:09:23,2021-08-18 18:09:18,3,40,28,2,2
154,1110318888,2021-08-18 18:09:22,2021-08-18 18:09:18,3,39,28,2,2
155,1110313927,2021-08-18 18:07:40,2021-08-18 18:07:26,3,32,30,1,3
156,1110313711,2021-08-18 18:07:36,2021-08-18 17:57:25,3,28,30,1,3
157,1110313574,2021-08-18 18:07:33,2021-08-18 17:56:55,3,26,28,2,2
158,1110313538,2021-08-18 18:07:32,2021-08-18 17:56:55,3,25,30,1,3
159,1110279287,2021-08-18 17:55:55,2021-08-18 17:55:48,3,22,28,2,2
160,1110279225,2021-08-18 17:55:54,2021-08-18 17:55:48,3,21,27,2,2
161,1110279068,2021-08-18 17:55:51,2021-08-18 17:54:49,3,18,27,2,2
162,1110279002,2021-08-18 17:55:50,2021-08-18 17:54:49,3,17,17,2,2
163,1110278905,2021-08-18 17:55:48,2021-08-18 17:54:49,3,16,30,1,3
164,1110278832,2021-08-18 17:55:46,2021-08-18 17:54:49,3,15,17,4,5
165,1110278764,2021-08-18 17:55:45,2021-08-18 17:54:49,3,14,17,2,2
166,1110278689,2021-08-18 17:55:44,2021-08-18 17:54:49,3,13,28,2,2
167,1110278587,2021-08-18 17:55:43,2021-08-18 17:54:49,3,12,27,2,2
168,1110278447,2021-08-18 17:55:40,2021-08-18 17:54:49,3,11,17,2,2
169,1110090905,2021-08-18 16:52:32,2021-08-18 16:50:24,3,157,17,2,2
170,1110090867,2021-08-18 16:52:31,2021-08-18 16:50:24,3,156,17,2,2
171,1110090796,2021-08-18 16:52:29,2021-08-18 16:50:24,3,155,17,2,2
172,1110047163,2021-08-18 16:37:27,2021-08-18 16:37:03,3,148,28,2,2
173,1110047001,2021-08-18 16:37:24,2021-08-18 16:36:03,3,152,28,2,2
174,1110046945,2021-08-18 16:37:23,2021-08-18 16:36:03,3,151,28,2,2
175,1110042036,2021-08-18 16:35:47,2021-08-18 16:35:03,3,141,28,2,2
176,1110041982,2021-08-18 16:35:46,2021-08-18 16:35:03,3,140,28,2,2
177,1110036918,2021-08-18 16:34:08,2021-08-18 16:34:03,3,137,28,2,2
178,1110036837,2021-08-18 16:34:07,2021-08-18 16:34:03,3,136,27,2,2
179,1110036038,2021-08-18 16:33:50,2021-08-18 16:33:13,3,133,27,2,2
180,1107174663,2021-08-17 19:33:38,2021-08-17 19:33:24,3,97,30,1,3
181,1107174618,2021-08-17 19:33:37,2021-08-17 19:33:24,3,96,30,1,3
182,1107171179,2021-08-17 19:32:26,2021-08-17 19:31:48,3,92,30,1,3
183,1107171136,2021-08-17 19:32:25,2021-08-17 19:31:48,3,91,17,4,5
184,1106864240,2021-08-17 17:47:54,2021-08-17 17:47:36,3,79,30,1,3
185,1106864186,2021-08-17 17:47:53,2021-08-17 17:47:36,3,78,30,1,3
186,1106864087,2021-08-17 17:47:50,2021-08-17 17:46:47,3,76,30,1,3
187,1106864059,2021-08-17 17:47:49,2021-08-17 17:46:47,3,75,30,1,3
188,1106863986,2021-08-17 17:47:48,2021-08-17 17:45:52,3,73,30,1,3
189,1106863939,2021-08-17 17:47:47,2021-08-17 17:45:52,3,72,30,1,3
190,1106855566,2021-08-17 17:44:53,2021-08-17 17:44:18,3,67,30,1,3
191,1106855510,2021-08-17 17:44:52,2021-08-17 17:44:18,3,66,17,4,5
192,1106727518,2021-08-17 17:01:25,2021-08-17 17:00:47,3,52,30,1,3
193,1106727382,2021-08-17 17:01:23,2021-08-17 17:00:17,3,50,30,1,3
194,1106720618,2021-08-17 16:59:07,2021-08-17 16:58:32,3,44,30,1,3
195,1106720549,2021-08-17 16:59:06,2021-08-17 16:58:32,3,43,17,4,5
196,1106619403,2021-08-17 16:27:06,2021-08-17 16:26:51,3,23,30,1,3
197,1106619105,2021-08-17 16:27:01,2021-08-17 16:16:51,3,19,30,1,3
198,1106618992,2021-08-17 16:26:58,2021-08-17 16:16:21,3,17,30,1,3
199,1106581630,2021-08-17 16:15:20,2021-08-17 16:14:51,3,13,30,1,3
200,1106581583,2021-08-17 16:15:19,2021-08-17 16:14:51,3,12,17,4,5
201,1106420898,2021-08-17 15:26:37,2021-08-17 15:26:21,3,61,30,1,3
202,1106420832,2021-08-17 15:26:36,2021-08-17 15:26:21,3,60,30,1,3
203,1106416548,2021-08-17 15:25:23,2021-08-17 15:23:50,3,56,30,1,3
204,1106416488,2021-08-17 15:25:22,2021-08-17 15:23:50,3,55,17,4,5
205,1106374591,2021-08-17 15:13:10,2021-08-17 15:13:05,3,47,17,4,5
206,1105690387,2021-08-17 11:01:45,2021-08-17 11:01:36,3,34,27,8,5
207,1105690197,2021-08-17 11:01:39,2021-08-17 11:01:36,3,33,27,8,5
208,1105689790,2021-08-17 11:01:29,2021-08-17 11:01:02,3,31,27,8,5
209,1105689676,2021-08-17 11:01:25,2021-08-17 11:01:02,3,30,27,8,5
210,1105689270,2021-08-17 11:01:14,2021-08-17 11:01:02,3,29,27,8,5
211,1105688905,2021-08-17 11:01:06,2021-08-17 11:01:02,3,28,27,8,5
212,1105688556,2021-08-17 11:00:56,2021-08-17 11:00:32,3,26,27,8,5
213,1105688256,2021-08-17 11:00:48,2021-08-17 11:00:32,3,25,27,8,5
214,1105687803,2021-08-17 11:00:38,2021-08-17 11:00:32,3,24,27,8,5
215,1105687749,2021-08-17 11:00:37,2021-08-17 11:00:32,3,23,27,8,5
216,1105687263,2021-08-17 11:00:24,2021-08-17 11:00:02,3,21,27,8,5
217,1105686843,2021-08-17 11:00:15,2021-08-17 11:00:02,3,20,27,8,5
218,1105686539,2021-08-17 11:00:09,2021-08-17 11:00:02,3,19,27,8,5
219,1105686406,2021-08-17 11:00:06,2021-08-17 11:00:02,3,18,27,8,5
220,1105686098,2021-08-17 10:59:58,2021-08-17 10:59:32,3,16,27,8,5
221,1105685685,2021-08-17 10:59:48,2021-08-17 10:59:32,3,15,27,8,5
222,1105685570,2021-08-17 10:59:45,2021-08-17 10:59:32,3,14,27,8,5
223,1105685195,2021-08-17 10:59:36,2021-08-17 10:59:32,3,13,27,8,5
224,1105684955,2021-08-17 10:59:28,2021-08-17 10:59:02,3,11,27,8,5
225,1105684808,2021-08-17 10:59:24,2021-08-17 10:59:02,3,10,27,8,5
226,1105684455,2021-08-17 10:59:15,2021-08-17 10:59:02,3,9,27,8,5
227,1105684152,2021-08-17 10:59:07,2021-08-17 10:59:02,3,8,27,8,5
228,1105683758,2021-08-17 10:58:55,2021-08-17 10:58:32,3,6,27,8,5
229,1105683373,2021-08-17 10:58:44,2021-08-17 10:58:32,3,5,27,8,5
230,1105683116,2021-08-17 10:58:38,2021-08-17 10:58:32,3,4,27,8,5
231,1105683029,2021-08-17 10:58:36,2021-08-17 10:58:32,3,3,27,8,5
232,1105682672,2021-08-17 10:58:24,2021-08-17 10:57:56,3,1,27,8,5
233,1105682443,2021-08-17 10:58:18,2021-08-17 10:57:56,3,0,27,8,5
234,1105682300,2021-08-17 10:58:14,2021-08-17 10:57:56,3,255,27,8,5
235,1105682085,2021-08-17 10:58:09,2021-08-17 10:57:56,3,254,27,8,5
236,1105681933,2021-08-17 10:58:04,2021-08-17 10:57:56,3,253,27,8,5
237,1105681779,2021-08-17 10:58:00,2021-08-17 10:57:56,3,252,27,8,5
238,1105681542,2021-08-17 10:57:54,2021-08-17 10:57:26,3,250,27,8,5
239,1105681317,2021-08-17 10:57:48,2021-08-17 10:57:26,3,249,27,8,5
240,1105681226,2021-08-17 10:57:45,2021-08-17 10:57:26,3,248,27,8,5
241,1105680779,2021-08-17 10:57:34,2021-08-17 10:57:26,3,247,27,8,5
242,1105680655,2021-08-17 10:57:30,2021-08-17 10:57:26,3,246,27,8,5
243,1105680464,2021-08-17 10:57:24,2021-08-17 10:56:56,3,244,27,8,5
244,1105680267,2021-08-17 10:57:19,2021-08-17 10:56:56,3,243,27,8,5
245,1105680097,2021-08-17 10:57:14,2021-08-17 10:56:56,3,242,27,8,5
246,1105679850,2021-08-17 10:57:08,2021-08-17 10:56:56,3,241,27,8,5
247,1105679685,2021-08-17 10:57:04,2021-08-17 10:56:56,3,240,27,8,5
248,1105679535,2021-08-17 10:56:59,2021-08-17 10:56:56,3,239,27,8,5
249,1105679331,2021-08-17 10:56:54,2021-08-17 10:56:26,3,237,27,8,5
250,1105679110,2021-08-17 10:56:48,2021-08-17 10:56:26,3,236,27,8,5
251,1105679043,2021-08-17 10:56:46,2021-08-17 10:56:26,3,235,27,8,5
252,1105678527,2021-08-17 10:56:34,2021-08-17 10:56:26,3,234,27,8,5
253,1105678407,2021-08-17 10:56:30,2021-08-17 10:56:26,3,233,27,8,5
254,1105678176,2021-08-17 10:56:24,2021-08-17 10:55:56,3,231,27,8,5
255,1105677867,2021-08-17 10:56:15,2021-08-17 10:55:56,3,230,27,8,5
256,1105677411,2021-08-17 10:56:04,2021-08-17 10:55:56,3,229,27,8,5
257,1105677244,2021-08-17 10:55:59,2021-08-17 10:55:56,3,228,27,8,5
258,1105677052,2021-08-17 10:55:54,2021-08-17 10:55:26,3,226,27,8,5
259,1105676891,2021-08-17 10:55:49,2021-08-17 10:55:26,3,225,27,8,5
260,1105676742,2021-08-17 10:55:45,2021-08-17 10:55:26,3,224,27,8,5
261,1105676454,2021-08-17 10:55:38,2021-08-17 10:55:26,3,223,27,8,5
262,1105676329,2021-08-17 10:55:35,2021-08-17 10:55:26,3,222,27,8,5
263,1105676288,2021-08-17 10:55:34,2021-08-17 10:55:26,3,221,28,2,2
264,1105676178,2021-08-17 10:55:30,2021-08-17 10:55:26,3,220,27,8,5
265,1105676018,2021-08-17 10:55:25,2021-08-17 10:54:56,3,218,27,8,5
266,1105675764,2021-08-17 10:55:18,2021-08-17 10:54:56,3,217,27,8,5
267,1105675655,2021-08-17 10:55:14,2021-08-17 10:54:56,3,216,27,8,5
268,1105675403,2021-08-17 10:55:08,2021-08-17 10:54:56,3,215,27,8,5
269,1105675205,2021-08-17 10:55:04,2021-08-17 10:54:56,3,214,27,8,5
270,1105675039,2021-08-17 10:55:00,2021-08-17 10:54:56,3,213,27,8,5
271,1105674884,2021-08-17 10:54:55,2021-08-17 10:54:26,3,211,27,8,5
272,1105674532,2021-08-17 10:54:45,2021-08-17 10:54:26,3,210,27,8,5
273,1105674236,2021-08-17 10:54:38,2021-08-17 10:54:26,3,209,27,8,5
274,1105674086,2021-08-17 10:54:34,2021-08-17 10:54:26,3,208,27,8,5
275,1105673923,2021-08-17 10:54:29,2021-08-17 10:54:26,3,207,27,8,5
276,1105673720,2021-08-17 10:54:24,2021-08-17 10:53:56,3,205,27,8,5
277,1105673479,2021-08-17 10:54:18,2021-08-17 10:53:56,3,204,27,8,5
278,1105673335,2021-08-17 10:54:14,2021-08-17 10:53:56,3,203,27,8,5
279,1105673087,2021-08-17 10:54:09,2021-08-17 10:53:56,3,202,27,8,5
280,1105672851,2021-08-17 10:54:03,2021-08-17 10:53:56,3,201,27,8,5
281,1105672759,2021-08-17 10:54:00,2021-08-17 10:53:56,3,200,27,8,5
282,1105672457,2021-08-17 10:53:52,2021-08-17 10:53:26,3,198,27,8,5
283,1105672308,2021-08-17 10:53:48,2021-08-17 10:53:26,3,197,27,8,5
284,1105672110,2021-08-17 10:53:42,2021-08-17 10:53:26,3,196,27,8,5
285,1105671969,2021-08-17 10:53:38,2021-08-17 10:53:26,3,195,27,8,5
286,1105671765,2021-08-17 10:53:33,2021-08-17 10:53:26,3,194,27,8,5
287,1105671664,2021-08-17 10:53:29,2021-08-17 10:53:26,3,193,27,8,5
288,1105671509,2021-08-17 10:53:23,2021-08-17 10:52:56,3,191,27,8,5
289,1105671361,2021-08-17 10:53:18,2021-08-17 10:52:56,3,190,27,8,5
290,1105671222,2021-08-17 10:53:13,2021-08-17 10:52:56,3,189,27,8,5
291,1105671037,2021-08-17 10:53:08,2021-08-17 10:52:56,3,188,27,8,5
292,1105670820,2021-08-17 10:53:02,2021-08-17 10:52:56,3,187,27,8,5
293,1105670759,2021-08-17 10:53:00,2021-08-17 10:52:56,3,186,27,8,5
294,1105670509,2021-08-17 10:52:53,2021-08-17 10:52:26,3,184,27,8,5
295,1105670349,2021-08-17 10:52:49,2021-08-17 10:52:26,3,183,27,8,5
296,1105670090,2021-08-17 10:52:42,2021-08-17 10:52:26,3,182,27,8,5
297,1105669944,2021-08-17 10:52:38,2021-08-17 10:52:26,3,181,27,8,5
298,1105669726,2021-08-17 10:52:33,2021-08-17 10:52:26,3,180,27,8,5
299,1105669635,2021-08-17 10:52:30,2021-08-17 10:52:26,3,179,27,8,5
300,1105669384,2021-08-17 10:52:22,2021-08-17 10:51:56,3,177,27,8,5
301,1105669289,2021-08-17 10:52:18,2021-08-17 10:51:56,3,176,27,8,5
302,1105669148,2021-08-17 10:52:13,2021-08-17 10:51:56,3,175,27,8,5
303,1105668974,2021-08-17 10:52:08,2021-08-17 10:51:56,3,174,27,8,5
304,1105668759,2021-08-17 10:52:02,2021-08-17 10:51:56,3,173,27,8,5
305,1105668666,2021-08-17 10:51:59,2021-08-17 10:51:56,3,172,27,8,5
306,1105668488,2021-08-17 10:51:54,2021-08-17 10:51:26,3,170,27,8,5
307,1105668333,2021-08-17 10:51:49,2021-08-17 10:51:26,3,169,27,8,5
308,1105668045,2021-08-17 10:51:42,2021-08-17 10:51:26,3,168,27,8,5
309,1105667766,2021-08-17 10:51:35,2021-08-17 10:51:26,3,167,27,8,5
310,1105667604,2021-08-17 10:51:29,2021-08-17 10:51:26,3,166,27,8,5
311,1105667408,2021-08-17 10:51:23,2021-08-17 10:50:56,3,164,27,8,5
312,1105667272,2021-08-17 10:51:18,2021-08-17 10:50:56,3,163,27,8,5
313,1105667113,2021-08-17 10:51:13,2021-08-17 10:50:56,3,162,27,8,5
314,1105667034,2021-08-17 10:51:11,2021-08-17 10:50:56,3,161,27,8,5
315,1105666984,2021-08-17 10:51:10,2021-08-17 10:50:56,3,159,27,8,5
316,1105666887,2021-08-17 10:51:07,2021-08-17 10:50:26,3,157,27,8,5
317,1105666844,2021-08-17 10:51:06,2021-08-17 10:50:26,3,156,27,8,5
318,1105666785,2021-08-17 10:51:04,2021-08-17 10:50:26,3,155,27,8,5
319,1105666742,2021-08-17 10:51:03,2021-08-17 10:50:26,3,154,27,8,5
320,1105666709,2021-08-17 10:51:02,2021-08-17 10:50:26,3,153,27,8,5
321,1105661681,2021-08-17 10:48:42,2021-08-17 10:48:06,3,149,27,8,5
322,1105651559,2021-08-17 10:44:16,2021-08-17 10:40:36,3,145,27,8,5
323,1105634375,2021-08-17 10:36:16,2021-08-17 10:35:40,3,141,27,8,5
